,AMPA_num,AMPA_locs,AMPA_weight,NMDA_num,NMDA_locs,NMDA_weight,NMDA_Beta,NMDA_Cdur,spike_num,platamp,ISI
0,10,"[0.2, 0.24444444444444446, 0.28888888888888886, 0.3333333333333333, 0.37777777777777777, 0.4222222222222222, 0.4666666666666666, 0.5111111111111111, 0.5555555555555556, 0.6]",0.02,10,"[0.2, 0.24444444444444446, 0.28888888888888886, 0.3333333333333333, 0.37777777777777777, 0.4222222222222222, 0.4666666666666666, 0.5111111111111111, 0.5555555555555556, 0.6]",0.02,0.02,1,0,0.912763444,0
1,10,"[0.2, 0.24444444444444446, 0.28888888888888886, 0.3333333333333333, 0.37777777777777777, 0.4222222222222222, 0.4666666666666666, 0.5111111111111111, 0.5555555555555556, 0.6]",0.03,10,"[0.2, 0.24444444444444446, 0.28888888888888886, 0.3333333333333333, 0.37777777777777777, 0.4222222222222222, 0.4666666666666666, 0.5111111111111111, 0.5555555555555556, 0.6]",0.03,0.02,1,0,1.855563424,0
2,10,"[0.2, 0.24444444444444446, 0.28888888888888886, 0.3333333333333333, 0.37777777777777777, 0.4222222222222222, 0.4666666666666666, 0.5111111111111111, 0.5555555555555556, 0.6]",0.04,10,"[0.2, 0.24444444444444446, 0.28888888888888886, 0.3333333333333333, 0.37777777777777777, 0.4222222222222222, 0.4666666666666666, 0.5111111111111111, 0.5555555555555556, 0.6]",0.04,0.02,1,0,3.143284233,0
3,10,"[0.2, 0.24444444444444446, 0.28888888888888886, 0.3333333333333333, 0.37777777777777777, 0.4222222222222222, 0.4666666666666666, 0.5111111111111111, 0.5555555555555556, 0.6]",0.0525,10,"[0.2, 0.24444444444444446, 0.28888888888888886, 0.3333333333333333, 0.37777777777777777, 0.4222222222222222, 0.4666666666666666, 0.5111111111111111, 0.5555555555555556, 0.6]",0.0525,0.02,1,0,6.571504629,0
4,10,"[0.2, 0.24444444444444446, 0.28888888888888886, 0.3333333333333333, 0.37777777777777777, 0.4222222222222222, 0.4666666666666666, 0.5111111111111111, 0.5555555555555556, 0.6]",0.055,10,"[0.2, 0.24444444444444446, 0.28888888888888886, 0.3333333333333333, 0.37777777777777777, 0.4222222222222222, 0.4666666666666666, 0.5111111111111111, 0.5555555555555556, 0.6]",0.055,0.02,1,0,9.151822082,0
5,10,"[0.2, 0.24444444444444446, 0.28888888888888886, 0.3333333333333333, 0.37777777777777777, 0.4222222222222222, 0.4666666666666666, 0.5111111111111111, 0.5555555555555556, 0.6]",0.05,10,"[0.2, 0.24444444444444446, 0.28888888888888886, 0.3333333333333333, 0.37777777777777777, 0.4222222222222222, 0.4666666666666666, 0.5111111111111111, 0.5555555555555556, 0.6]",0.05,0.02,1,0,5.400936225,0
6,10,"[0.2, 0.24444444444444446, 0.28888888888888886, 0.3333333333333333, 0.37777777777777777, 0.4222222222222222, 0.4666666666666666, 0.5111111111111111, 0.5555555555555556, 0.6]",0.06,10,"[0.2, 0.24444444444444446, 0.28888888888888886, 0.3333333333333333, 0.37777777777777777, 0.4222222222222222, 0.4666666666666666, 0.5111111111111111, 0.5555555555555556, 0.6]",0.06,0.02,1,1,17.9132641,0
7,10,"[0.2, 0.24444444444444446, 0.28888888888888886, 0.3333333333333333, 0.37777777777777777, 0.4222222222222222, 0.4666666666666666, 0.5111111111111111, 0.5555555555555556, 0.6]",0.144444444,10,"[0.2, 0.24444444444444446, 0.28888888888888886, 0.3333333333333333, 0.37777777777777777, 0.4222222222222222, 0.4666666666666666, 0.5111111111111111, 0.5555555555555556, 0.6]",0.144444444,0.02,1,3,17.581617,12.8875
8,10,"[0.2, 0.24444444444444446, 0.28888888888888886, 0.3333333333333333, 0.37777777777777777, 0.4222222222222222, 0.4666666666666666, 0.5111111111111111, 0.5555555555555556, 0.6]",0.188888889,10,"[0.2, 0.24444444444444446, 0.28888888888888886, 0.3333333333333333, 0.37777777777777777, 0.4222222222222222, 0.4666666666666666, 0.5111111111111111, 0.5555555555555556, 0.6]",0.188888889,0.02,1,4,21.1317211,15.15
9,10,"[0.2, 0.24444444444444446, 0.28888888888888886, 0.3333333333333333, 0.37777777777777777, 0.4222222222222222, 0.4666666666666666, 0.5111111111111111, 0.5555555555555556, 0.6]",0.1,10,"[0.2, 0.24444444444444446, 0.28888888888888886, 0.3333333333333333, 0.37777777777777777, 0.4222222222222222, 0.4666666666666666, 0.5111111111111111, 0.5555555555555556, 0.6]",0.1,0.02,1,2,21.76414,12.575
10,10,"[0.2, 0.24444444444444446, 0.28888888888888886, 0.3333333333333333, 0.37777777777777777, 0.4222222222222222, 0.4666666666666666, 0.5111111111111111, 0.5555555555555556, 0.6]",0.233333333,10,"[0.2, 0.24444444444444446, 0.28888888888888886, 0.3333333333333333, 0.37777777777777777, 0.4222222222222222, 0.4666666666666666, 0.5111111111111111, 0.5555555555555556, 0.6]",0.233333333,0.02,1,4,22.8041179,12.56666667
11,10,"[0.2, 0.24444444444444446, 0.28888888888888886, 0.3333333333333333, 0.37777777777777777, 0.4222222222222222, 0.4666666666666666, 0.5111111111111111, 0.5555555555555556, 0.6]",0.277777778,10,"[0.2, 0.24444444444444446, 0.28888888888888886, 0.3333333333333333, 0.37777777777777777, 0.4222222222222222, 0.4666666666666666, 0.5111111111111111, 0.5555555555555556, 0.6]",0.277777778,0.02,1,5,19.66231921,15.7375
12,10,"[0.2, 0.24444444444444446, 0.28888888888888886, 0.3333333333333333, 0.37777777777777777, 0.4222222222222222, 0.4666666666666666, 0.5111111111111111, 0.5555555555555556, 0.6]",0.322222222,10,"[0.2, 0.24444444444444446, 0.28888888888888886, 0.3333333333333333, 0.37777777777777777, 0.4222222222222222, 0.4666666666666666, 0.5111111111111111, 0.5555555555555556, 0.6]",0.322222222,0.02,1,5,20.70517517,13.59375
13,10,"[0.2, 0.24444444444444446, 0.28888888888888886, 0.3333333333333333, 0.37777777777777777, 0.4222222222222222, 0.4666666666666666, 0.5111111111111111, 0.5555555555555556, 0.6]",0.366666667,10,"[0.2, 0.24444444444444446, 0.28888888888888886, 0.3333333333333333, 0.37777777777777777, 0.4222222222222222, 0.4666666666666666, 0.5111111111111111, 0.5555555555555556, 0.6]",0.366666667,0.02,1,5,21.50057316,12.48125
14,10,"[0.2, 0.24444444444444446, 0.28888888888888886, 0.3333333333333333, 0.37777777777777777, 0.4222222222222222, 0.4666666666666666, 0.5111111111111111, 0.5555555555555556, 0.6]",0.411111111,10,"[0.2, 0.24444444444444446, 0.28888888888888886, 0.3333333333333333, 0.37777777777777777, 0.4222222222222222, 0.4666666666666666, 0.5111111111111111, 0.5555555555555556, 0.6]",0.411111111,0.02,1,6,18.92576718,15.945
15,10,"[0.2, 0.24444444444444446, 0.28888888888888886, 0.3333333333333333, 0.37777777777777777, 0.4222222222222222, 0.4666666666666666, 0.5111111111111111, 0.5555555555555556, 0.6]",0.455555556,10,"[0.2, 0.24444444444444446, 0.28888888888888886, 0.3333333333333333, 0.37777777777777777, 0.4222222222222222, 0.4666666666666666, 0.5111111111111111, 0.5555555555555556, 0.6]",0.455555556,0.02,1,6,19.50419592,14.425
16,10,"[0.2, 0.24444444444444446, 0.28888888888888886, 0.3333333333333333, 0.37777777777777777, 0.4222222222222222, 0.4666666666666666, 0.5111111111111111, 0.5555555555555556, 0.6]",0.5,10,"[0.2, 0.24444444444444446, 0.28888888888888886, 0.3333333333333333, 0.37777777777777777, 0.4222222222222222, 0.4666666666666666, 0.5111111111111111, 0.5555555555555556, 0.6]",0.5,0.02,1,6,19.98210788,13.51
