Bnum,Loc,distance
B14,Loc0.1_0.2,57.34591824
B14,Loc0.2_0.3,68.65477688
B14,Loc0.3_0.4,91.27249417
B14,Loc0.4_0.5,102.5813528
B14,Loc0.5_0.6,125.1990701
B14,Loc0.6_0.7,136.5079288
B14,Loc0.7_0.8,159.125646
B14,Loc0.8_0.9,170.4345047
B15,Loc0.1_0.2,46.98662853
B15,Loc0.2_0.3,69.37362352
B15,Loc0.3_0.4,91.7606185
B15,Loc0.4_0.5,114.1476135
B15,Loc0.5_0.6,136.5346085
B15,Loc0.6_0.7,158.9216034
B15,Loc0.7_0.8,181.3085984
B15,Loc0.8_0.9,203.6955934
B22,Loc0.1_0.2,74.84481132
B22,Loc0.2_0.3,95.40513684
B22,Loc0.3_0.4,105.6852996
B22,Loc0.4_0.5,126.2456251
B22,Loc0.5_0.6,146.8059506
B22,Loc0.6_0.7,167.3662762
B22,Loc0.7_0.8,177.6464389
B22,Loc0.8_0.9,198.2067645
B25,Loc0.1_0.2,68.82860284
B25,Loc0.2_0.3,80.51466156
B25,Loc0.3_0.4,92.20072029
B25,Loc0.4_0.5,103.886779
B25,Loc0.5_0.6,127.2588965
B25,Loc0.6_0.7,138.9449552
B25,Loc0.7_0.8,150.6310139
B25,Loc0.8_0.9,162.3170726
B31,Loc0.1_0.2,88.37517353
B31,Loc0.3_0.4,100.1532735
B31,Loc0.5_0.6,111.9313735
B31,Loc0.7_0.8,123.7094735
B31,Loc0.8_0.9,135.4875735
B34,Loc0.1_0.2,54.80220417
B34,Loc0.2_0.3,65.88616583
B34,Loc0.3_0.4,88.05408915
B34,Loc0.4_0.5,99.13805081
B34,Loc0.5_0.6,121.3059741
B34,Loc0.6_0.7,132.3899358
B34,Loc0.7_0.8,154.5578591
B34,Loc0.8_0.9,165.6402042
